Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
12449778,Аэропорт,Arthur Hailey,"Hailey, Arthur",Артур Хейли,"=""5170245661""","=""9785170245666""",0,АСТ,Paperback,480,2009,1968,,2026/06/05,currently-reading,currently-reading (#1),currently-reading,,,,1,0
247755742,"Девятый (Небесное воинство, #2)",Сергей Лукьяненко,"Лукьяненко, Сергей",Sergei Lukyanenko,"=""5171829888""","=""9785171829889""",4,АСТ,Hardcover,320,2026,,2026/06/04,2026/05/31,,,read,,,,1,0
210300489,Isles of the Emberdark,Brandon Sanderson,"Sanderson, Brandon",,"=""1938570502""","=""9781938570506""",0,Dragonsteel Entertainment,Hardcover,465,2025,2025,2026/05/27,2026/05/23,,,read,,,,1,0
241178936,Седьмой,Sergei Lukyanenko,"Lukyanenko, Sergei",Сергей Лукьяненко,"=""""","=""""",5,,ebook,,2025,,2026/05/30,2026/05/28,,,read,,,,1,0
219361415,Озаренный Солнцем,Brandon Sanderson,"Sanderson, Brandon","Брендон Сандерсон, Мария Кантор, Мария Аль-Ради","=""5389262530""","=""9785389262539""",5,Азбука,Kindle Edition,499,2024,2023,2026/05/23,2026/05/22,,,read,,,,1,0
213912660,Юми и укротитель кошмаров,Brandon Sanderson,"Sanderson, Brandon","Брендон Сандерсон, Юрий Павлов, Алия Чэнь","=""5389246888""","=""9785389246881""",5,Азбука,Hardcover,480,2024,2023,2026/05/21,2026/05/19,,,read,,,,1,0
201693482,Локон с изумрудного моря,Brandon Sanderson,"Sanderson, Brandon","Брендон Сандерсон, Говард Лайон","=""5389229231""","=""9785389229235""",5,Азбука,Hardcover,480,2023,2023,,2026/05/18,,,read,,,,1,0
244981748,Вітер та Істина,Brandon Sanderson,"Sanderson, Brandon","Ольга Пелешук, Костянтин Зотов","=""6171517453""","=""9786171517455""",5,КСД,Hardcover,1536,2025,2024,2026/05/15,2026/05/09,,,read,,,,1,0
23947089,"The Lost Metal (Mistborn, #7)",Brandon Sanderson,"Sanderson, Brandon",,"=""0765391198""","=""9780765391193""",5,Tor Books,Hardcover,507,2022,2022,2026/05/03,2026/04/28,,,read,,,,1,0
40866404,Браслеты Скорби (Двурожденные #3),Brandon Sanderson,"Sanderson, Brandon",Брендон Сандерсон,"=""""","=""""",5,Азбука,Kindle Edition,494,2018,2016,2026/04/28,2026/04/27,,,read,,,,1,0
16065004,"Shadows of Self (Mistborn, #5)",Brandon Sanderson,"Sanderson, Brandon",,"=""0765378558""","=""9780765378552""",5,Tor Books,Hardcover,376,2015,2015,2026/04/26,2026/04/22,,,read,,,,1,0
33357675,"Allomancer Jak and the Pits of Eltania (Mistborn, #4.5)",Brandon Sanderson,"Sanderson, Brandon",,"=""""","=""""",4,,Paperback,40,2016,2014,2026/04/22,2026/04/22,,,read,,,,1,0
35658534,"Сплав закона (Двурожденные, #1)",Brandon Sanderson,"Sanderson, Brandon",,"=""5389127897""","=""9785389127890""",5,Азбука,Kindle Edition,415,2017,2011,2026/04/21,2026/04/19,,,read,,,,1,0
59483154,Проект «Аве Мария»,Andy Weir,"Weir, Andy","Энди Вейер, Ольга Акопян","=""5171360081""","=""9785171360085""",5,Издательство АСТ,Hardcover,575,2024,2021,2026/04/18,2026/04/16,,,read,,,,1,0
210081845,"The Hallmarked Man (Cormoran Strike, #8)",Robert Galbraith,"Galbraith, Robert",Robert Glenister,"=""""","=""""",5,"Little, Brown & Company",Audiobook,32,2025,2025,2026/04/15,2026/04/11,,,read,,,,1,0
139399948,"The Running Grave (Cormoran Strike, #7)",Robert Galbraith,"Galbraith, Robert",J.K. Rowling,"=""0316572101""","=""9780316572101""",5,Mulholland Books,Hardcover,960,2023,2023,2026/04/10,2026/04/04,,,read,,,,1,0
60144955,"The Ink Black Heart (Cormoran Strike, #6)",Robert Galbraith,"Galbraith, Robert",,"=""0316473537""","=""9780316473538""",5,Mulholland Books,Hardcover,1391,2022,2022,2026/04/04,2026/03/28,,,read,,,,1,0
56098498,"Дурная кровь (Корморан Страйк, #5)",Robert Galbraith,"Galbraith, Robert","Роберт Гэлбрейт, Елена  Петрова","=""5389188365""","=""9785389188365""",5,Иностранка,Hardcover,960,2020,2020,2026/03/27,2026/03/14,,,read,,,,1,0
42283287,"Lethal White (Cormoran Strike, #4)",Robert Galbraith,"Galbraith, Robert",,"=""0316422770""","=""9780316422772""",5,Mulholland Books,Paperback,650,2019,2018,2026/03/13,2026/03/05,,,read,,,,1,0
33260044,"На службе зла (Cormoran Strike, #3)",Robert Galbraith,"Galbraith, Robert","Роберт Гэлбрейт, Ellena Petrova, Елена  Петрова","=""5389112202""","=""9785389112209""",5,Иностранка,Hardcover,544,2016,2015,2026/03/05,2026/03/01,,,read,,,,1,0
216052455,«Франкенштейн» Мэри Шелли,Georges Bess,"Bess, Georges",,"=""5001160731""","=""9785001160731""",5,Питер,Hardcover,208,2024,2021,2026/02/24,2026/02/17,,,read,,,,1,0
246825162,"Канашибари. Пока не погаснет последний фонарь. Том 4 (Канашибари, 4)",Ангелина Шэн,"Шэн, Ангелина","Вероника Шэн, GOSUTO","=""5353117360""","=""9785353117360""",5,О2,Kindle Edition,510,2026,,2026/02/17,2026/02/06,,,read,,,,1,0
137632460,Хозяйка Шварцвальда,Уна Харт,"Харт, Уна",,"=""5041759944""","=""9785041759940""",5,Эксмо,Hardcover,448,2023,,2026/02/05,2026/01/20,,,read,,,,1,0
17748517,Портрет Дориана Грея,Oscar Wilde,"Wilde, Oscar",Оскар Уайльд,"=""""","=""""",4,Азбука-классика,Paperback,320,2007,1890,2026/02/05,2026/01/26,,,read,,,,1,0
220990462,Если все кошки в мире исчезнут,Genki Kawamura,"Kawamura, Genki","Гэнки Кавамура, Т.Л. Платонова","=""5041244529""","=""9785041244521""",5,Бомбора,Kindle Edition,180,2024,2012,2026/01/19,2026/01/17,,,read,,,,1,0
220221311,Ґудзики та страждання. Книга 3 (Ukrainian Edition),Пенелопа Скай,"Скай, Пенелопа",Андрій Яремчук,"=""6171509205""","=""9786171509207""",3,КСД,Kindle Edition,291,2024,,2026/01/16,2026/01/12,,,read,,,,1,0
211986470,Ґудзики та ненависть. Книга 2 (Ukrainian Edition),Пенелопа Скай,"Скай, Пенелопа",Інна Паненко,"=""6171507490""","=""9786171507494""",4,КСД,Kindle Edition,265,2024,,2026/01/12,2026/01/09,,,read,,,,1,0
60300408,Граф Монте-Кристо. Том 2,Alexandre Dumas,"Dumas, Alexandre",Александр Дюма,"=""""","=""""",5,Эксмо,Unknown Binding,608,,1846,2025/08/23,2025/08/19,,,read,,,,1,0
60212264,Граф Монте-Кристо. Том 1,Alexandre Dumas,"Dumas, Alexandre",Александр Дюма,"=""""","=""""",0,Эксмо,Hardcover,640,2021,1846,2025/08/19,2025/09/02,,,read,,,,1,0
